QuestionType,QuestionText,AnswerA,AnswerB,AnswerC,AnswerD,CorrectAnswer,CorrectAnswerText,CorrectAnswerInfo
multiple_choice,"What is the utility tool that can help Ahmed make a voice call over the internet successfully, considering his limited speed internet connection?","Firewall software",Codec,"VPN (Virtual Private Network) service","Anti-virus program",B,Codec,"Quality of Service (QoS) tool can prioritize voice traffic over the internet, ensuring a better call quality despite limited speed."
multiple_choice,"(tracert 'ip') is a command used on the (cmd) to:","Create a new directory in the file system","Display the list of installed programs","Check the available memory on the system","Trace the route of data being transmitted over the network",D,"Trace the route of data being transmitted over the network","(tracert 'ip') command is specifically used to trace the route of data being transmitted over the network."
multiple_choice,"What file type would you recommend for Hasan to save his edited video, considering he wants to upload it on Instagram?",.MOV,.MP4,.AVI,.GIF,B,.MP4,".MP4 files are commonly used for online video sharing due to their compression and quality."
multiple_choice,"What does 'Lossy compression' refer to?","The compression technique used in PNG image files","The compression which allows restoring the file quality when decompressed","The compression which reduces the file size by losing some of its quality permanently","The compression technique used in MP3 audio files",C,"The compression which reduces the file size by losing some of its quality permanently","'Lossy compression' reduces file size by permanently losing some quality, often used in audio and image files."
multiple_choice,"What does 'Lossless compression' allow?","The permanent reduction of file size by losing some quality","The restoration of file quality when decompressed without any loss","The compression technique used in JPG image files","The compression technique used in MP4 video files",B,"The restoration of file quality when decompressed without any loss","'Lossless compression' allows restoring the original quality when decompressed, commonly used in PNG image files."
multiple_choice,"What is 'Virtual Memory' in memory management?","A type of cache memory used to improve system performance","A memory space on the hard disk used to temporarily store active files when RAM is full","The allocation of memory for virtual machines","The memory reserved for virtual reality applications",B,"A memory space on the hard disk used to temporarily store active files when RAM is full","Virtual Memory is a memory space on the hard disk used to temporarily store active files when RAM is full."
multiple_choice,"What is a characteristic of open-source software as compared to proprietary software?","No initial cost, but requires paid updates","Limited features but lower long-term expenses","High initial cost, but maintenance is also charged","Free or low initial cost, but may incur maintenance expenses",D,"Free or low initial cost, but may incur maintenance expenses","This highlights the common misunderstanding that open-source software is entirely free without any potential long-term costs."
multiple_choice,"What is the purpose of compression as a tool?","Encrypting files for security purposes","Decreasing file/data size by sacrificing quality","Organizing files into a more compact structure","Increasing file/data size to improve quality",B,"Decreasing file/data size by sacrificing quality","Compression aims to reduce the size of files or data, often leading to a trade-off with quality."
multiple_choice,"Which type of cable is known for requiring specialist skills to install?","Fiber optic","Twisted pair",Cat5,Coaxial,A,"Fiber optic","Fiber optic cables require specialist skills to install due to their delicate nature and the need for precision in handling."
multiple_choice,"Which peripheral guided connection type is primarily used for connecting peripherals in close proximity?",HDMI,Bluetooth,USB,VGA,C,USB,"USB connections are typically used to connect peripherals that are in close proximity to each other, such as a mouse, keyboard, or printer to a computer."
multiple_choice,"""Satellite Broadband"" is the best selection as a connection method for which type of areas?","Urban areas with high service coverage","(Suburban areas with moderate service coverage)","(Rural areas with no service coverage)","(Coastal areas with intermittent service coverage)",C,"(Rural areas with no service coverage)","""Satellite Broadband"" is particularly suitable for rural remote areas with no internet service coverage by traditional providers, making it the best selection for such areas."
multiple_choice,"What is the main purpose of a Bridge in a network?","To connect different types of networks","To extend the coverage range of Wi-Fi signal","To encrypt data transmission for security","To direct data correctly and reduce network traffic",D,"To direct data correctly and reduce network traffic","A Bridge is used to connect two different types of networks and direct data correctly to reduce network traffic."
multiple_choice,"Which device can combine the functionality of a Hub, Firewall, and Bridge?",Switch,Router,"Access Point",Repeater,A,Switch,"A Switch can combine the functionality of a Hub, Firewall, and Bridge, allowing for efficient data transmission and network management."
multiple_choice,"What is the correct combination of devices that can form a PAN?","Mobile phone, Air Pod, Laptop, Smartwatch","Smartphone, Tablet, Desktop, Smart TV","Smartwatch, Bluetooth speaker, Digital camera, E-reader","Fitness tracker, Gaming console, Smart speaker, Smart thermostat",A,"Mobile phone, Air Pod, Laptop, Smartwatch","A Personal Area Network (PAN) can be formed by connecting devices like mobile phones, laptops, smartwatches, and Bluetooth accessories in close proximity."
multiple_choice,"What is the correct definition of WLAN?","A metropolitan area network that uses fiber optics","A personal area network that uses satellite communication","A wide area network that uses wired connections","A local area network that uses wireless service",D,"A local area network that uses wireless service","WLAN stands for Wireless Local Area Network, which is a type of local area network that uses wireless service for connecting devices within a limited area."
multiple_choice,"Which protocol is gradually being phased out and replaced with TLS?",TCP,IP,HTTP,SSL,D,SSL,"SSL (Secure Sockets Layer) is gradually being phased out and replaced with TLS (Transport Layer Security) for improved security."
multiple_choice,"Which network protocol is primarily used for voice and video calls?",HTTP,RTP,TLS,FTP,B,RTP,"H.323, SIP, and RTP are network protocols primarily used for voice and video calls."
multiple_choice,"What is the main difference between HTTP and HTTPS protocols?","Data transmission speed","Port number used","Server location restriction","Encryption technique used",D,"Encryption technique used","The main difference between HTTP and HTTPS protocols is the use of encryption techniques in HTTPS to provide a higher level of security."
multiple_choice,"Which measurement is used to quantify the speed of data transmission?",HTTPS,WinZip,Bandwidth,Latency,C,Bandwidth,"Bandwidth, measured in bits per second, quantifies the speed of data transmission over a network."
multiple_choice,"Which protocols are primarily used for voice and video calls?","H.323, SIP, and RTP","TLS and SSL","SMTP, POP3, and IMAP","HTTP, HTTPS, and FTP",A,"H.323, SIP, and RTP","H.323, SIP, and RTP are protocols primarily used for voice and video calls."
multiple_choice,"Which activities can be affected by latency in live streaming?","Downloading files and documents","Browsing web pages","Playing online games","Sending emails",C,"Playing online games","Latency can be an issue in live streaming when playing online games."
multiple_choice,"Which protocols are associated with web page access and security?","TLS and SSL","SMTP, POP3, and IMAP","H.323, SIP, and RTP","HTTP, HTTPS, and FTP",D,"HTTP, HTTPS, and FTP","HTTP, HTTPS, and FTP are protocols associated with web page access."
multiple_choice,"What is the main purpose of remote desktop technology?","To access remote desktops and provide technical support","To store files remotely","To manage cloud services","To create a virtual office environment",A,"To access remote desktops and provide technical support","Remote desktop technology is primarily used to access remote desktops and provide technical support for problem-solving."
multiple_choice,"When using iCloud, OneDrive, or Google Drive, what type of service are you actually utilizing?","File sharing services","Cloud computing","Remote desktop services","Cloud storage",D,"Cloud storage","iCloud, OneDrive, and Google Drive are examples of cloud storage services where users can store and access their files remotely."
multiple_choice,"What are two disadvantages of using cloud services?","Data loss and limited access","Limited storage space and frequent downtime","Security issues and heavy use of bandwidth","Slow data transfer and high cost",C,"Security issues and heavy use of bandwidth","Two common disadvantages of using cloud services are security issues such as data breaches, and heavy use of bandwidth which can impact network performance."
multiple_choice,"What is the recommended solution for an employee to access office files using a home laptop?","Cloud storage","Email attachment","External hard drive","Local server connection",A,"Cloud storage","Cloud storage allows convenient access to files from any location with an internet connection."
multiple_choice,"Which technology type is associated with data interrogation?","Cloud computing","Virtual reality",Smartphone,"None of the above",B,"Virtual reality","Data interrogation is associated with technologies like virtual reality."
multiple_choice,"Which type of technology is commonly linked with networking?","Digital device","Virtual reality","Cloud computing","None of the above",C,"Cloud computing","Networking is commonly associated with technologies like cloud computing."
multiple_choice,"Which emerging technology is most likely to involve a smartphone?","Data interrogation","Cloud computing","Virtual reality","None of the above",A,"Data interrogation","Smartphones are commonly associated with digital devices and data interrogation."
multiple_choice,"What is the meaning of 'Volume' in the context of data?","The importance of the data","The amount of data","The number of different types of data present","The speed at which data is entered and retrieved",B,"The amount of data","In the context of data, 'Volume' refers to the amount of data."
multiple_choice,"What does 'Veracity' refer to in the context of data?","The accuracy of the data","The number of items in a transaction","The speed at which data can be entered and retrieved","The different types of data contained",A,"The accuracy of the data","'Veracity' in the context of data refers to the accuracy of the data."
multiple_choice,"What is the implication if 'NVTC students' marks' are not being recorded in a database?","Enhanced security of student information","Difficulty in tracking students' academic progress","Improved efficiency in managing student records","No impact, as it is not essential data",B,"Difficulty in tracking students' academic progress","Not recording 'NVTC students' marks' in a database can lead to difficulty in tracking students' academic progress."
multiple_choice,"What can affect Strategic level data according to the text?","Changes in management level data","Variety in the types of data","Global or national trends","Changes in operational level data",C,"Global or national trends","'Changing markets, changes in organization or around, global or national trends' can affect Strategic level data."
multiple_choice,"What is the main characteristic of 'Operational level data'?","It contains the 5 Vs of big data","It is the initial data required to use the system","It is related to the importance of data","It is frequently updated during work",D,"It is frequently updated during work","Operational level data is defined as the frequently updated data during work, such as 'sales record.'"
multiple_choice,"What does 'Velocity' refer to in the context of Big Data?","The amount of data","Different types of data Big Data contains","How quick is the data input, analysis, and retrieve","Data accuracy",C,"How quick is the data input, analysis, and retrieve","'Velocity' in the context of Big Data refers to how quick the data input, analysis, and retrieval processes are."
multiple_choice,"What is a benefit an organization can get using online communities?","Enhanced data security measures","Guaranteed limitation of distractions for employees","Reduced need for further payment","Increased employee engagement and collaboration",D,"Increased employee engagement and collaboration","Online communities can foster increased employee engagement and collaboration, leading to improved communication and knowledge sharing."
multiple_choice,"Which type of data does the online community tool 'Vlog' focus on?","Sound clips","Text messages",Articles,Videos,D,Videos,"'Vlog' as an online community tool focuses on videos, which are a popular medium for sharing content and engaging with audiences."
multiple_choice,"What is a potential limitation of using online communities in organizations?","Enhanced data privacy","Limited distractions for employees","Potential distractions for employees","Increased employee productivity",C,"Potential distractions for employees","One potential limitation of using online communities in organizations is the possibility of causing distractions for employees, which can impact their focus and productivity."
multiple_choice,"Which of the following online communities typically allows users to collaboratively create and edit content?","Social media",Podcasts,Forums,Wiki,D,Wiki,"Wiki platforms enable collaborative content creation and editing by users."
multiple_choice,"What is the initial cost for organizations to establish an online community?","Significant setup investment","No initial cost","Subscription fee","Minimal setup fee",B,"No initial cost","Organizations do not need to pay for an online community initially."
multiple_choice,"Which of the following is an example of an online community?","Online gaming platforms","Collaborative content creation platforms","E-commerce platforms","Online banking platforms",B,"Collaborative content creation platforms","Online communities include forums, podcasts, and social media platforms where users can interact and collaborate."
multiple_choice,"What type of online platform is commonly used for discussion and information sharing?","E-commerce platforms","E-learning platforms","Online banking platforms","Social media platforms",D,"Social media platforms","Social media platforms are often used for discussions, information sharing, and connecting with a wide range of users."
multiple_choice,"Where are podcasts typically hosted and accessed?","Audio streaming platforms","E-commerce platforms","Social media platforms","Video streaming platforms",A,"Audio streaming platforms","Podcasts are audio content that are hosted and accessed through dedicated audio streaming platforms."
multiple_choice,"What is the best way to collect data quickly?",Observation,Experiment,Survey,Interview,C,Survey,"The text states that the best way to collect data quickly is through a survey."
multiple_choice,"What is the most accurate, reliable, and detailed method for collecting data?","Focus group",Observation,Interview,Experiment,A,"Focus group","According to the text, the most accurate, reliable, and detailed data can be collected using a focus group."
multiple_choice,"What should a business owner do before starting their business?","Use numerical modeling technique","Conduct trend analysis","Create a database","Collect primary data",B,"Conduct trend analysis","It is recommended in the text that a business owner should conduct trend analysis before starting their business."
multiple_choice,"What is recommended to predict future events like the weather?","Graphical data presenting as charts","Trend analysis","Numerical modelling technique","Focus group discussion",C,"Numerical modelling technique","""Numerical modelling technique"" is recommended in the text for predicting future events like the weather."
multiple_choice,"What could happen if weather stations are not recording the temperature data accurately?","Improved accuracy in weather forecasts","Misleading weather forecasts and predictions","No impact on weather forecasts","Increased likelihood of extreme weather events",B,"Misleading weather forecasts and predictions","Inaccurate temperature data from weather stations can lead to misleading weather forecasts and predictions, impacting various sectors such as agriculture, transportation, and disaster preparedness."
multiple_choice,"In terms of HONESTY, the survey can be good and bad as a data collection method.","It always ensures truthful responses","It is the most reliable method for data collection","It can provide authentic insights but is susceptible to bias and dishonest responses","It is prone to errors but eliminates bias",C,"It can provide authentic insights but is susceptible to bias and dishonest responses","Surveys can yield authentic insights but are also susceptible to bias, dishonest responses, and errors, impacting the honesty of the collected data."
multiple_choice,"Analyzing the DB mathematically to understand the data pattern and help predict future events is:","Numerical modeling","Statistical guesswork","Qualitative analysis","Predictive guesswork",A,"Numerical modeling","Analyzing a database mathematically to understand data patterns and predict future events is known as numerical modeling, which involves using mathematical algorithms and patterns for predictive analysis."
multiple_choice,"Ali would like to analyze his annual market sales record to find the month with the highest sales rate. It is better that Ali previews the data in:","Textual format","Statistical format","Graphical way","Tabular format",C,"Graphical way","Analyzing market sales records to identify the month with the highest sales rate is best done by previewing the data graphically, allowing for visual representation and easy identification of trends."
multiple_choice,"What is the correct order of steps for extracting and sorting data?","1 – The database can be sorted and retrieved using SQL queries, 2 – Data is stored in a database to add structure, 3 – Data is entered into the system for processing, 4 – Data is extracted from unstructured sources","1 – Data is stored in a database to add structure, 2 – Data is extracted from unstructured sources, 3 – The database can be sorted and retrieved using SQL queries, 4 – Data is entered into the system for processing","1 – Data is entered into the system for processing, 2 – The database can be sorted and retrieved using SQL queries, 3 – Data is stored in a database to add structure, 4 – Data is extracted from unstructured sources","1 – Data is extracted from unstructured sources, 2 – Data is entered into the system for processing, 3 – Data is stored in a database to add structure, 4 – The database can be sorted and retrieved using SQL queries",D,"1 – Data is extracted from unstructured sources, 2 – Data is entered into the system for processing, 3 – Data is stored in a database to add structure, 4 – The database can be sorted and retrieved using SQL queries","The correct sequence involves extracting data from unstructured sources, entering it into the system for processing, storing it in a database to add structure, and then sorting and retrieving it using SQL queries."
multiple_choice,"What is the purpose of storing data in a database during the data extraction process?","To add structure to the data","To reduce the size of the data","To prioritize the data","To encrypt the data",A,"To add structure to the data","Storing data in a database during the extraction process helps to add structure to the data, making it easier to sort and retrieve using SQL queries."
multiple_choice,"Which step ensures that the extracted data can be organized and queried effectively?","Data is entered into the system for processing","The database can be sorted and retrieved using SQL queries","Data is stored in a database to add structure","Data is extracted from unstructured sources",C,"Data is stored in a database to add structure","Storing the extracted data in a database to add structure ensures that it can be organized and queried effectively through SQL queries."
multiple_choice,"What is the primary implication of data threats on organizations?","Enhanced data security measures","Improved customer trust","Financial loss and damage to reputation","Decreased employee productivity",C,"Financial loss and damage to reputation","Data threats can lead to financial loss due to theft or damage of sensitive information, as well as damage to the organization's reputation."
multiple_choice,"Which of the following is a threat to data?","Accidental damage","Regular software updates","Ethical hacking","Data encryption",A,"Accidental damage","Accidental damage, such as human errors, poses a significant threat to data security and integrity."
multiple_choice,"Can a hacker be ethical?","Yes, if they use their skills for constructive purposes","No, hackers are inherently unethical","Yes, if they access systems without permission","No, ethical hacking is a contradiction",A,"Yes, if they use their skills for constructive purposes","Ethical hackers use their skills to identify vulnerabilities in systems and help organizations improve their security."
multiple_choice,"Which data protection method ensures that data can be recovered after any data loss?",Backup,Antivirus,Encryption,Firewall,A,Backup,"Backup technique ensures that data can be recovered after any data loss."
multiple_choice,"Why is it important to keep the encryption key secure?","To speed up data transmission","To protect against hardware failure","To ensure data retrievability","To prevent malware attacks",C,"To ensure data retrievability","For Encryption, you need to keep the key secure; because a lost key means that the data is not retrievable."
multiple_choice,"Which security measure protects systems from hackers?",Antivirus,Backup,Firewall,Encryption,C,Firewall,"Firewall protects systems from hackers."
multiple_choice,"What is a potential ethical issue a student may face while using the school network?","Disabling security measures to access restricted websites","Accessing unauthorized information for academic purposes","Using school resources for personal financial gain","Sharing personal login credentials with classmates",B,"Accessing unauthorized information for academic purposes","Accessing unauthorized information for academic purposes can raise ethical concerns related to academic integrity and intellectual property rights."
multiple_choice,"What is the main implication of the ever-growing demand for electronic devices?","Increased energy efficiency in device production","Reduced reliance on natural resources for device manufacturing","Increasing amounts of techno-trash","Decreased environmental impact from electronic waste",C,"Increasing amounts of techno-trash","The ever-growing demand for electronic devices leads to increasing amounts of techno-trash, contributing to environmental concerns and waste management challenges."
multiple_choice,"What is netiquette primarily concerned with?","Preventing cyber-attacks and hacking","Internet etiquette and acceptable behavior online","Regulating online content and censorship","Ensuring internet speed and connectivity",B,"Internet etiquette and acceptable behavior online","Netiquette focuses on promoting internet etiquette and guiding acceptable behavior in online interactions, emphasizing respectful and responsible communication."
multiple_choice,"What is the primary goal of a denial of service attack?","To enhance the security of the system","To steal sensitive information from the system","To improve the performance of the system","To overload the system and disrupt its normal functioning",D,"To overload the system and disrupt its normal functioning","A denial of service attack aims to overwhelm a system, making it unable to function normally."
multiple_choice,"What is the purpose of copyright in relation to movies and applications?","To promote the use of pirated movies and applications","To encourage free sharing of movies and applications","To prevent illegal download and distribution of movies and applications","To limit access to movies and applications",C,"To prevent illegal download and distribution of movies and applications","Copyright serves as a legal factor to prevent the unauthorized downloading and distribution of movies and applications."
multiple_choice,"What does a denial of service attack do to a system?","Improves the security of the system","Reduces the system's power consumption","Enhances the system's performance","Overloads the system, causing it to malfunction",D,"Overloads the system, causing it to malfunction","A denial of service attack overloads a system, leading to its malfunction and disruption of normal operations."
multiple_choice,"What is the purpose of ISO standards?","To ensure high quality products and services internationally","To regulate internet usage globally","To promote local product quality","To standardize web development practices",A,"To ensure high quality products and services internationally","ISO sets standards internationally to ensure high quality products and services."
multiple_choice,"What is the main focus of WCAG?","Standardizing web design aesthetics","Ensuring web accessibility for everyone","Regulating online content creation","Improving internet speed globally",B,"Ensuring web accessibility for everyone","WCAG is a set of rules for making the web available to everyone, focusing on web accessibility."
multiple_choice,"What is the primary purpose of W3C recommendations?","Describing best practices of web development","Regulating e-commerce platforms","Setting global trade standards","Standardizing manufacturing processes",A,"Describing best practices of web development","W3C provides international recommendations to describe the best practices of web development."
multiple_choice,"What is an example of IT outsourcing according to the text?","Microsoft Office 365","Adobe Creative Cloud",Dropbox,iCloud,D,iCloud,"IT outsourcing examples mentioned in the text include iCloud and using the services of a call center company."
multiple_choice,"What is the primary focus of Acceptable Use Policies (AUPs)?","Setting guidelines for ethical behavior online","Establishing rules for physical security measures","Defining protocols for emergency response procedures","Regulating employee attire in the workplace",A,"Setting guidelines for ethical behavior online","Acceptable Use Policies (AUPs) primarily aim to set guidelines for ethical behavior online, regulating the use of digital resources and networks within an organization."
multiple_choice,"What is an example of IT outsourcing?","Using the services of a call center company","Developing an in-house software development team","Training existing employees for IT tasks","Hiring in-house IT support staff",A,"Using the services of a call center company","IT outsourcing involves contracting out certain IT functions or services to external providers, such as call center companies."
multiple_choice,"How do Acceptable Use Policies (AUPs) vary between organizations?","They are not necessary for small organizations","They are standardized across all organizations","They are only applicable to large organizations","They differ from one organization to another",D,"They differ from one organization to another","Acceptable Use Policies (AUPs) are tailored to the specific needs, culture, and requirements of individual organizations, hence they vary from one organization to another."
multiple_choice,"What is a characteristic of Acceptable Use Policies (AUPs)?","They define acceptable behavior when using organizational resources","They are uniform across all organizations","They are primarily focused on personal internet usage","They are only applicable to IT departments",A,"They define acceptable behavior when using organizational resources","AUPs set out the acceptable and unacceptable use of technology resources within an organization, including guidelines for internet usage, email, social media, and more."
